#{"t_start": 1642059931.976555, "env_id": null}
r,l,t
0,54,82.622195
0,54,82.780195
0,53,82.946194
0,46,83.083194
0,54,83.259195
0,46,83.420193
0,54,83.588195
0,52,83.748796
0,41,83.880381
0,50,84.029381
0,54,84.202383
0,44,84.33438
10,60,84.536009
0,54,84.712019
0,49,84.87402
0,54,85.085747
0,54,85.265747
0,54,85.443745
0,54,85.62875
0,40,85.760748
30,63,85.965747
0,52,86.133746
0,54,86.304747
0,47,86.47075
0,52,86.64401
0,54,86.813011
0,45,86.95801
0,54,87.143012
0,54,87.315012
0,54,87.48801
0,54,87.659009
20,56,87.83501
0,54,88.018009
0,54,88.194011
0,41,88.342011
0,53,88.50901
0,48,88.662533
0,47,88.817533
0,53,88.982532
0,54,89.148532
30,61,89.353531
0,54,89.518532
0,48,89.670533
0,47,89.824532
0,52,89.994531
0,54,90.162118
0,54,90.336118
0,51,90.492117
0,40,90.623117
0,49,90.778488
0,38,90.890488
0,54,91.063488
0,54,91.233488
0,47,91.378487
0,46,91.526488
0,54,91.689487
0,54,91.873489
0,54,92.046491
0,54,92.22249
0,47,92.362488
0,50,92.532487
20,63,92.726488
0,54,92.887727
0,48,93.038302
20,63,93.242305
0,47,93.386303
0,54,93.560306
0,48,93.716898
0,54,93.900898
0,54,94.066897
0,47,94.219897
0,54,94.404898
0,50,94.587897
0,49,94.749897
0,54,94.927279
0,53,95.092005
0,54,95.265005
0,54,95.444006
0,54,95.610004
0,47,95.756005
0,54,95.936007
0,54,96.114005
0,48,96.268005
0,52,96.442004
0,52,96.607004
0,54,96.777006
30,59,96.959379
0,54,97.135379
0,49,97.291381
0,49,97.45438
0,49,97.61138
10,63,97.80138
0,47,97.957381
0,45,98.107381
0,52,98.298381
0,46,98.497381
0,54,98.682169
0,50,98.85417
0,46,99.011974
0,54,99.203971
0,54,99.374972
0,54,99.563972
0,54,99.730972
0,63,99.957972
0,54,100.165053
0,54,100.331054
0,54,100.516055
10,63,100.763053
0,54,100.963052
0,42,101.100885
0,54,101.283885
0,54,101.448885
0,54,101.633885
0,54,101.802886
0,52,101.970886
0,54,102.155885
0,48,102.325886
0,47,102.513885
0,54,102.680885
0,51,102.847885
20,63,103.06142
0,53,103.22842
0,54,103.39642
0,54,103.57742
0,54,103.75922
0,46,103.927219
0,54,104.090219
0,54,104.26322
0,46,104.416218
0,54,104.602221
0,54,104.762219
0,54,104.933218
0,48,105.095769
20,61,105.286417
20,60,105.479416
0,51,105.638417
0,54,105.815416
0,50,105.973415
0,42,106.103415
0,48,106.251416
0,53,106.428417
0,47,106.568416
0,44,106.704416
0,47,106.855415
0,53,107.022416
0,50,107.185319
0,54,107.366018
0,51,107.531015
0,54,107.705017
0,46,107.843017
0,51,108.004016
0,47,108.162016
0,54,108.327016
0,51,108.490016
0,50,108.647598
0,54,108.820597
0,50,108.979597
0,46,109.130598
0,54,109.300929
30,63,109.513491
0,51,109.67849
0,54,109.863492
0,54,110.034489
10,63,110.233153
0,50,110.390153
0,52,110.560152
10,63,110.755154
20,60,110.942154
0,49,111.099153
20,63,111.294154
10,56,111.469229
0,53,111.627229
0,50,111.79123
30,63,111.980229
0,41,112.11623
0,54,112.27523
0,47,112.434229
10,63,112.62523
0,54,112.786229
0,46,112.93323
0,48,113.09723
0,51,113.24423
0,49,113.410402
10,63,113.599402
0,54,113.776991
0,54,113.932116
0,54,114.099725
0,54,114.255725
0,54,114.431727
0,54,114.614726
20,61,114.806726
20,53,114.966727
0,54,115.13331
0,54,115.30931
0,53,115.475179
0,46,115.633178
0,47,115.776178
0,54,115.947179
0,49,116.099178
0,54,116.272179
20,57,116.453178
0,48,116.60218
0,54,116.763179
0,45,116.903178
0,51,117.062178
0,54,117.233178
0,54,117.39618
0,54,117.563353
0,54,117.725352
0,48,117.869352
0,54,118.047352
0,54,118.210353
0,54,118.384352
0,54,118.548351
0,54,118.715908
0,54,118.872282
0,54,119.049283
0,47,119.202282
0,51,119.352283
0,47,119.507869
20,55,119.684515
0,54,119.842515
0,54,120.011517
0,46,120.154448
0,50,120.316449
0,54,120.481448
20,63,120.67645
0,54,120.849449
0,52,121.009448
0,54,121.166448
0,47,121.325449
0,50,121.475448
0,50,121.638638
0,54,121.801636
0,54,121.972639
0,46,122.121637
0,46,122.272637
0,47,122.420638
0,48,122.565638
0,54,122.724637
0,52,122.884637
0,54,123.053638
0,54,123.215637
0,54,123.382638
0,45,123.524637
0,54,123.685608
0,54,123.852168
0,54,124.012167
0,54,124.186167
0,54,124.352168
0,51,124.512167
0,38,124.632167
0,54,124.794168
0,46,124.939168
0,48,125.08475
0,54,125.246749
0,51,125.420749
0,47,125.568749
0,47,125.704935
10,63,125.902934
0,54,126.077935
0,51,126.227935
20,63,126.424935
0,52,126.581935
0,54,126.753936
20,63,126.943936
20,63,127.153934
0,44,127.288936
0,54,127.480936
0,54,127.635936
0,39,127.759254
0,53,127.916253
0,53,128.087254
0,48,128.235252
0,46,128.380254
0,54,128.541253
0,54,128.724903
0,53,128.885537
0,54,129.057537
10,63,129.250538
0,54,129.437539
0,54,129.597537
0,48,129.745194
0,54,129.924962
0,47,130.08254
0,54,130.242537
0,54,130.412538
0,54,130.572539
0,54,130.765539
0,54,130.933537
10,63,131.150539
20,59,131.370539
0,51,131.555542
0,45,131.725538
0,48,131.882794
0,54,132.051793
0,42,132.203794
0,49,132.368795
0,41,132.503794
0,50,132.667793
0,40,132.810794
0,43,132.948793
0,48,133.098793
0,49,133.268793
0,54,133.451792
0,54,133.655354
0,49,133.806163
0,47,133.957205
0,44,134.108206
0,54,134.272206
0,54,134.464205
0,54,134.650208
0,54,134.829208
0,54,135.018205
0,47,135.190767
0,54,135.354767
0,54,135.551767
0,54,135.711767
0,43,135.852768
0,54,136.018184
0,54,136.187182
0,54,136.355184
0,54,136.519182
0,54,136.688183
0,51,136.845184
20,63,137.053183
20,63,137.249183
0,48,137.413184
0,54,137.576183
0,54,137.744182
20,62,137.926745
20,63,138.121547
0,50,138.279547
10,63,138.488547
20,62,138.679133
40,63,138.873729
0,48,139.028728
0,49,139.181728
0,54,139.342729
0,54,139.512728
0,51,139.677729
0,48,139.825727
10,63,140.015893
0,48,140.164977
0,54,140.340978
0,49,140.496977
10,58,140.67698
0,46,140.813977
0,48,140.968978
0,49,141.114977
0,54,141.285978
0,54,141.461979
0,47,141.614978
0,54,141.782979
0,54,141.939978
0,54,142.105564
0,49,142.257563
0,54,142.420563
0,54,142.590563
0,54,142.749563
20,63,142.950563
0,50,143.115563
0,47,143.253564
0,54,143.428565
0,54,143.595563
0,52,143.75585
0,54,143.930851
0,54,144.09224
0,48,144.250761
0,54,144.428761
0,41,144.551761
0,48,144.698761
0,54,144.876763
0,54,145.034762
0,54,145.201446
0,54,145.360446
0,54,145.542444
0,54,145.702445
0,46,145.846445
0,49,146.000444
0,49,146.15807
0,46,146.305623
0,54,146.478623
0,46,146.627624
0,46,146.770623
0,47,146.921623
0,53,147.085623
0,44,147.218623
0,46,147.369623
0,54,147.536623
0,54,147.704623
0,54,147.871623
0,46,148.026623
0,54,148.193181
0,50,148.349573
30,63,148.556573
0,46,148.706188
0,54,148.865834
0,45,149.013836
0,52,149.174835
0,54,149.359834
0,46,149.517834
20,57,149.691834
20,63,149.889835
0,54,150.066416
20,63,150.261185
0,49,150.421186
0,53,150.575185
0,54,150.750185
0,53,150.909186
0,54,151.088185
20,63,151.273185
0,48,151.428185
0,54,151.607186
0,54,151.770185
0,54,151.942185
0,54,152.109186
20,55,152.278787
0,38,152.399585
0,54,152.562586
0,54,152.736586
0,54,152.902586
0,51,153.064944
0,44,153.201301
0,54,153.365301
0,54,153.537301
20,63,153.740873
30,63,153.931461
0,52,154.09846
30,49,154.262461
0,49,154.419152
20,63,154.621151
0,42,154.759152
0,54,154.928153
0,54,155.095781
0,54,155.260783
10,63,155.462781
0,46,155.609781
0,45,155.74178
0,54,155.909784
0,44,156.051783
0,54,156.210781
